[08.03.2013 - 19:15] SYNCRO DONE (20 sec)- vidéos trouvées (47), ajoutées (47), mises à jour (0), perdues (0).
[08.03.2013 - 19:15] SYNCRO DONE (3 sec)- vidéos trouvées (47), ajoutées (1), mises à jour (46), perdues (0).
[08.03.2013 - 19:17] SYNCRO DONE (3 sec)- vidéos trouvées (47), ajoutées (1), mises à jour (46), perdues (0).
[08.03.2013 - 19:34] SYNCRO DONE (22 sec)- vidéos trouvées (47), ajoutées (47), mises à jour (0), perdues (0).
[08.03.2013 - 19:36] SYNCRO DONE (3 sec)- vidéos trouvées (47), ajoutées (1), mises à jour (46), perdues (0).
[08.03.2013 - 19:51] SYNCRO DONE (33 sec)- vidéos trouvées (118), ajoutées (72), mises à jour (46), perdues (0).
[16.03.2013 - 22:58] SYNCRO DONE (8 sec)- vidéos trouvées (121), ajoutées (6), mises à jour (115), perdues (0).
[16.03.2013 - 22:59] SYNCRO DONE (6 sec)- vidéos trouvées (121), ajoutées (2), mises à jour (119), perdues (0).
[16.03.2013 - 23:02] SYNCRO DONE (53 sec)- vidéos trouvées (121), ajoutées (121), mises à jour (0), perdues (0).
[20.04.2013 - 03:04] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 03:05] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 03:06] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:27] SYNCRO DONE (10 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:28] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:29] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:36] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:37] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:38] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:41] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:41] SYNCRO DONE (8 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:43] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:45] SYNCRO DONE (8 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:51] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:52] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:56] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:57] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 04:58] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 05:06] SYNCRO DONE (8 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 05:25] SYNCRO DONE (8 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 05:26] SYNCRO DONE (9 sec)- vidéos trouvées (177), ajoutées (4), mises à jour (173), perdues (171).
[20.04.2013 - 05:27] SYNCRO DONE (51 sec)- vidéos trouvées (396), ajoutées (223), mises à jour (173), perdues (171).
[20.04.2013 - 05:36] SYNCRO DONE (50 sec)- vidéos trouvées (396), ajoutées (223), mises à jour (173), perdues (171).
